pokemon_id,name,species,weight,height,type1,type2,sprite,artwork,shiny_artwork,hp,attack,defense,special_attack,special_defense,speed,gen,romanji,jap_name,flavor_text,female,male,gender_label,special_group
19,rattata,Mouse Pokémon,35,3,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/19.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/19.png,30,56,35,25,35,72,generation-i,Koratta,コラッタ,"Bites anything when it attacks. Small and very quick, it is a common sight in many places.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
20,raticate,Mouse Pokémon,185,7,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/20.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/20.png,55,81,60,50,70,97,generation-i,Ratta,ラッタ,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
21,spearow,Tiny Bird Pokémon,20,3,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/21.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/21.png,40,60,30,31,31,70,generation-i,Onisuzume,オニスズメ,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
22,fearow,Beak Pokémon,380,12,normal,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/22.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/22.png,65,90,65,61,61,100,generation-i,Onidrill,オニドリル,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
23,ekans,Snake Pokémon,69,20,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/23.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/23.png,35,60,44,40,54,55,generation-i,Arbo,アーボ,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
24,arbok,Cobra Pokémon,650,35,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/24.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/24.png,60,95,69,65,79,80,generation-i,Arbok,アーボック,It is rumored that the ferocious warning markings on its belly differ from area to area.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
25,pikachu,Mouse Pokémon,60,4,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/25.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/25.png,35,55,40,50,50,90,generation-i,Pikachu,ピカチュウ,"When several of these POKéMON gather, their electricity could build and cause lightning storms.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
26,raichu,Mouse Pokémon,300,8,electric,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/26.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/26.png,60,90,55,90,80,110,generation-i,Raichu,ライチュウ,Its long tail serves as a ground to protect itself from its own high-voltage power.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
27,sandshrew,Mouse Pokémon,120,6,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/27.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/27.png,50,75,85,20,30,40,generation-i,Sand,サンド,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
28,sandslash,Mouse Pokémon,295,10,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/28.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/28.png,75,100,110,45,55,65,generation-i,Sandpan,サンドパン,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
29,nidoran-f,Poison Pin Pokémon,70,4,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/29.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/29.png,55,47,52,40,40,41,generation-i,Nidoran♀,ニドラン♀,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.",100.0,0.0,Female 100.0% / Male 0.0%,Ordinary
30,nidorina,Poison Pin Pokémon,200,8,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/30.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/30.png,70,62,67,55,55,56,generation-i,Nidorina,ニドリーナ,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.,100.0,0.0,Female 100.0% / Male 0.0%,Ordinary
31,nidoqueen,Drill Pokémon,600,13,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/31.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/31.png,90,92,87,75,85,76,generation-i,Nidoqueen,ニドクイン,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.,100.0,0.0,Female 100.0% / Male 0.0%,Ordinary
32,nidoran-m,Poison Pin Pokémon,90,5,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/32.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/32.png,46,57,40,40,40,50,generation-i,Nidoran♂,ニドラン♂,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom.",0.0,100.0,Female 0.0% / Male 100.0%,Ordinary
33,nidorino,Poison Pin Pokémon,195,9,poison,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/33.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/33.png,61,72,57,55,55,65,generation-i,Nidorino,ニドリーノ,An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.,0.0,100.0,Female 0.0% / Male 100.0%,Ordinary
34,nidoking,Drill Pokémon,620,14,poison,ground,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/34.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/34.png,81,102,77,85,75,85,generation-i,Nidoking,ニドキング,"It uses its powerful tail in battle to smash, constrict, then break the prey's bones.",0.0,100.0,Female 0.0% / Male 100.0%,Ordinary
35,clefairy,Fairy Pokémon,75,6,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/35.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/35.png,70,45,48,60,65,35,generation-i,Pippi,ピッピ,Its magical and cute appeal has many admirers. It is rare and found only in certain areas.,75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
36,clefable,Fairy Pokémon,400,13,fairy,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/36.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/36.png,95,70,73,95,90,60,generation-i,Pixy,ピクシー,A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.,75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
37,vulpix,Fox Pokémon,99,6,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/37.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/37.png,38,41,40,50,65,65,generation-i,Rokon,ロコン,"At the time of birth, it has just one tail. The tail splits from its tip as it grows older.",75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
38,ninetales,Fox Pokémon,199,11,fire,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/38.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/38.png,73,76,75,81,100,100,generation-i,Kyukon,キュウコン,Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.,75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
39,jigglypuff,Balloon Pokémon,55,5,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/39.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/39.png,115,45,20,45,25,20,generation-i,Purin,プリン,"When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep.",75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
40,wigglytuff,Balloon Pokémon,120,10,normal,fairy,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/40.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/40.png,140,70,45,85,50,45,generation-i,Pukurin,プクリン,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.",75.0,25.0,Female 75.0% / Male 25.0%,Ordinary
41,zubat,Bat Pokémon,75,8,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/41.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/41.png,40,45,35,30,40,55,generation-i,Zubat,ズバット,Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
42,golbat,Bat Pokémon,550,16,poison,flying,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/42.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/42.png,75,80,70,65,75,90,generation-i,Golbat,ゴルバット,"Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
43,oddish,Weed Pokémon,54,5,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/43.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/43.png,45,50,55,75,65,30,generation-i,Nazonokusa,ナゾノクサ,"During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
44,gloom,Weed Pokémon,86,8,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/44.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/44.png,60,65,70,85,75,40,generation-i,Kusaihana,クサイハナ,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
45,vileplume,Flower Pokémon,186,12,grass,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/45.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/45.png,75,80,85,110,90,50,generation-i,Ruffresia,ラフレシア,"It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
46,paras,Mushroom Pokémon,54,3,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/46.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/46.png,35,70,55,45,55,25,generation-i,Paras,パラス,Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
47,parasect,Mushroom Pokémon,295,10,bug,grass,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/47.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/47.png,60,95,80,60,80,30,generation-i,Parasect,パラセクト,A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
48,venonat,Insect Pokémon,300,10,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/48.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/48.png,60,55,50,40,55,45,generation-i,Kongpang,コンパン,Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
49,venomoth,Poison Moth Pokémon,125,15,bug,poison,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/49.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/49.png,70,65,60,90,75,90,generation-i,Morphon,モルフォン,The dustlike scales covering its wings are color-coded to indicate the kinds of poison it has.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
50,diglett,Mole Pokémon,8,2,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/50.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/50.png,10,55,25,35,45,95,generation-i,Digda,ディグダ,Lives about one yard underground where it feeds on plant roots. It sometimes appears above ground.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
51,dugtrio,Mole Pokémon,333,7,ground,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/51.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/51.png,35,100,50,50,70,120,generation-i,Dugtrio,ダグトリオ,A team of DIGLETT triplets. It triggers huge earthquakes by burrowing 60 miles underground.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
52,meowth,Scratch Cat Pokémon,42,4,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/52.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/52.png,40,45,35,40,40,90,generation-i,Nyarth,ニャース,It washes its face regularly to keep the coin on its forehead spotless. It doesn’t get along with Galarian Meowth.,50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
53,persian,Classy Cat Pokémon,320,10,normal,,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/53.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/53.png,65,70,60,65,65,115,generation-i,Persian,ペルシアン,"Although its fur has many admirers, it is tough to raise as a pet because of its fickle meanness.",50.0,50.0,Female 50.0% / Male 50.0%,Ordinary
